,quality
5409,3
4686,3
1893,3
459,3
899,3
2633,3
1299,3
2044,3
1852,3
3649,3
517,3
690,3
4864,3
832,3
3530,3
4906,3
3016,3
6344,3
3287,3
1469,3
1850,3
2339,3
3083,3
1374,3
4130,4
1369,4
1877,4
573,4
1881,4
5988,4
5812,4
4817,4
1239,4
3936,4
2505,4
1714,4
1467,4
2948,4
3836,4
3416,4
1788,4
2844,4
5313,4
6438,4
3380,4
4093,4
3945,4
3022,4
4874,4
2225,4
3158,4
4034,4
2095,4
3874,4
3029,4
3173,4
3289,4
3157,4
2240,4
2626,4
876,4
6477,4
2430,4
3082,4
79,4
1746,4
3678,4
4011,4
4519,4
1858,4
4620,4
2507,4
1775,4
3999,4
937,4
224,4
1233,4
872,4
1293,4
3140,4
703,4
3338,4
2641,4
4666,4
3004,4
1484,4
3176,4
2658,4
3978,4
5822,4
2258,4
1276,4
3251,4
4012,4
2286,4
3987,4
830,4
2892,4
4487,4
3248,4
5532,4
3845,4
18,4
41,4
2261,4
1423,4
2754,4
5852,4
4092,4
5177,4
5016,4
2751,4
1235,4
1803,4
4255,4
3917,4
199,4
2125,4
5821,4
833,4
4013,4
73,4
3301,4
1124,4
3979,4
5170,4
3824,4
1806,4
3753,4
3455,4
2547,4
5564,4
2098,4
5619,4
1849,4
1363,4
4188,4
1263,4
3307,4
4008,4
704,4
5500,4
5335,4
2379,4
1261,4
6378,4
1461,4
2652,4
5566,4
4102,4
1307,4
3971,4
5249,4
45,4
2962,4
1645,4
3715,4
38,4
5638,4
2893,4
1480,4
4131,4
2301,4
1189,4
6279,4
151,4
4649,4
3073,4
2628,4
2504,4
3523,4
1521,4
2592,4
161,4
261,4
1777,4
2590,4
3589,4
576,4
4417,4
2139,4
647,4
3718,4
6403,4
3550,4
1829,4
1697,4
3019,4
1482,4
6285,4
4778,4
6373,4
5478,4
266,4
6107,4
5369,4
4534,4
189,5
6054,5
337,5
5390,5
3239,5
1664,5
1611,5
6076,5
959,5
3775,5
5318,5
98,5
4561,5
728,5
2070,5
2305,5
3308,5
4296,5
2953,5
2491,5
3195,5
75,5
2242,5
5915,5
1871,5
1443,5
4396,5
447,5
2772,5
2056,5
6412,5
34,5
1022,5
2767,5
2243,5
424,5
3724,5
2166,5
5320,5
2876,5
3685,5
412,5
4095,5
4176,5
3995,5
4781,5
5405,5
4509,5
3272,5
4815,5
2230,5
3902,5
736,5
2613,5
725,5
2400,5
5955,5
419,5
3716,5
4899,5
1876,5
642,5
654,5
4919,5
5868,5
6452,5
182,5
454,5
5755,5
3680,5
3711,5
486,5
2640,5
3886,5
4069,5
1937,5
